,density,DH_mix,DS_mix,T_m,delta,D_elneg,VEC,lattice
0,14.88,-6.0,5.76,1286.13,0.35,0.31,11.0,FCC
1,8.37,-1.0,5.76,1789.5,0.79,0.03,8.5,FCC
2,8.9,0.0,5.76,1748.0,0.0,0.02,9.5,FCC
3,8.91,4.0,5.76,1542.88,1.19,0.01,10.5,FCC
4,8.37,-2.0,5.76,1769.5,0.79,0.04,9.0,FCC
5,8.28,-4.89,9.13,1892.0,1.12,0.11,8.33,FCC
6,8.54,-1.33,9.13,1769.0,0.75,0.03,9.0,FCC
7,7.94,-4.44,9.13,1906.33,0.99,0.1,8.0,FCC
8,8.17,-3.75,11.53,1871.75,1.03,0.1,8.25,FCC
9,8.06,-5.5,11.53,1798.75,0.97,0.15,8.0,FCC
10,8.26,-4.0,11.53,1706.5,0.66,0.14,8.5,FCC
11,9.6,-2.0,11.53,1783.76,4.2,0.14,9.25,FCC
12,7.72,-6.75,12.71,1816.56,3.25,0.11,7.94,FCC
13,7.64,-7.27,12.83,1806.29,3.49,0.11,7.88,FCC
14,7.52,-7.99,12.97,1791.33,3.8,0.11,7.8,FCC
15,8.29,-3.51,12.66,1786.78,0.87,0.12,8.44,FCC
16,8.11,-4.07,13.3,1795.83,0.91,0.13,8.17,FCC
17,8.07,-4.07,12.63,1869.28,1.02,0.12,8.06,FCC
18,8.2,-4.84,12.66,1823.33,0.99,0.13,8.33,FCC
19,8.03,-4.16,13.38,1801.2,0.92,0.14,8.0,FCC
20,8.24,-3.9,12.2,1896.73,1.96,0.11,8.2,FCC
21,8.31,-4.04,12.57,1920.52,2.51,0.12,8.14,FCC
22,9.11,-5.6,13.38,1863.01,3.76,0.18,8.6,FCC
23,9.68,-6.11,12.98,1857.18,4.33,0.2,8.83,FCC
24,9.36,-6.0,5.76,2823.0,2.44,0.28,5.5,BCC
25,13.71,-5.0,5.76,3093.0,2.44,0.33,5.5,BCC
26,7.21,-4.0,5.76,2418.5,2.1,0.31,5.0,BCC
27,8.31,0.0,5.76,2539.5,1.82,0.27,5.5,BCC
28,14.82,0.0,5.76,3295.5,0.36,0.1,6.0,BCC
29,12.61,0.0,5.76,3020.0,0.0,0.05,5.0,BCC
30,6.56,2.0,5.76,2345.5,0.34,0.03,4.5,BCC
31,13.57,-8.0,5.76,3222.5,2.08,0.38,5.5,BCC
32,13.13,-1.0,5.76,2939.0,2.17,0.37,5.5,BCC
33,5.5,-16.25,11.53,1951.87,3.3,0.03,4.25,BCC
34,11.06,3.5,11.53,2668.5,3.95,0.12,4.5,BCC
35,8.4,2.5,11.53,2331.25,4.12,0.13,4.25,BCC
36,10.68,-3.25,11.53,2779.75,3.56,0.26,5.25,BCC
37,13.64,-6.5,11.53,3157.75,2.27,0.36,5.5,BCC
38,13.85,-6.49,11.51,3177.12,2.27,0.37,5.53,BCC
39,9.16,-0.25,11.53,2541.0,3.53,0.05,4.75,BCC
40,12.85,-4.5,11.53,2979.5,3.49,0.34,5.25,BCC
41,6.46,-0.25,11.53,2250.5,6.03,0.12,4.5,BCC
42,8.69,-10.08,13.38,2329.09,4.41,0.33,5.0,BCC
