element,Mg,Al,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,La,Hf,Ta,W,Re,Os,Ir,Pt,Au
blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg,0,-33,2,20,171,160,87,77,-31,-723,-147,-139,4,-31,105,164,4,-478,-742,-255,-109,-140,-7,122,234,67,43,-369,-872,-612
Al,-33,0,-444,-428,-282,-138,-278,-369,-629,-677,-224,-520,-544,-539,-288,-168,-678,-1101,-874,-254,-1938,-360,-444,-320,-161,-257,-577,-944,-960,-466
Sc,2,-444,0,38,83,119,-142,-281,-359,-525,-284,-380,18,-29,61,-11,-540,-1035,-906,-309,-296,33,-10,75,44,-341,-400,-1032,-1232,-822
Ti,20,-428,38,0,37,-910,-277,-418,-386,-435,-147,-198,111,24,11,-167,-763,-790,-646,-65,-69,134,-10,31,-82,-189,-713,-847,-934,-430
V,171,-282,83,37,0,-88,-286,-176,-199,-250,13,-51,143,26,-56,-127,-321,-393,-275,147,133,170,7,-122,-97,-148,-361,-505,-564,-43
Cr,160,-138,119,-910,-88,0,-110,-8,5,-30,108,44,150,-47,-47,42,4,-129,-82,129,133,173,43078,-130,26,4,-22,-238,-261,25
Mn,87,-278,-142,-277,-286,-110,0,9,-19,-115,29,-25,40,-192,-153,-138,-15,-188,-251,97,90,129,-268,-254,-92,-139,-40,-199,-362,-111
Fe,77,-369,-281,-418,-176,-8,9,0,-60,-97,65,-23,-71,-290,-2505,-484,41,-57,-116,176,159,18,-354,-3468,-554,-25,11,-63,-244,70
Co,-31,-629,-359,-386,-199,5,-19,-60,0,-21,54,-58,-198,-324,-178,-52,52,12,-10,154,134,-128,-401,-253,-84,-72,34,3,-107,84
Ni,-723,-677,-525,-435,-250,-30,-115,-97,-21,0,-6,-256,-437,-463,-316,-100,40,2,-6,98,-14,-339,-544,-746,-116,-116,32,-38,-99,44
Cu,-147,-224,-284,-147,54,108,29,65,54,-6,0,-92,-258,-169,-29,83,108,-4,-126,47,3,-229,-186,28,129,83,141,24,-167,-49
Zn,-139,-520,-380,-198,-51,44,-25,-23,-58,-256,-92,0,-405,-301,-160,-42,-150,-391,-571,-62,32,-374,-233,-88,58,8,21,-238,-570,-222
Y,4,-544,18,111,143,150,40,-71,-198,-437,-258,-405,0,40,143,100,-318,-863,-923,-346,-358,3,65,181,148,-211,-304,-804,-1252,-889
Zr,-31,-539,-29,-910,26,-910,-192,-290,-324,-463,-169,-301,40,0,21,-138,-644,-811,-816,-126,-123,99,-22,36,-145,-358,-524,-830,-1087,-580
Nb,105,-288,61,11,-56,-47,-153,-2505,-150,-316,-29,-160,143,21,0,-133,-249,-548,-435,70,71,145,23,-10,-76,-202,-276,-628,-721,-157
Mo,164,-168,-11,-167,-127,42,-136,-484,-52,-100,83,-42,100,-138,-133,0,-57,-248,-100,238,176,212,-171,-193,-8,-2,-52,-338,-366,141
Ru,4,-678,-540,-763,-321,4,-15,41,52,40,108,-150,-318,-644,-249,-57,0,-8,47,203,112,-290,-819,-332,-66,-87,-16,-54,-33,162
Rh,-478,-1101,-1035,-790,-393,-129,-188,-57,12,2,-4,-391,-863,-811,-548,-248,-8,0,37,80,-162,-790,-864,-611,-273,-181,-8,-21,-24,76
Pd,-742,-874,-906,-646,-275,-82,-251,-116,-10,-6,-126,-571,-923,-816,-435,-100,47,37,0,-63,-419,-838,-879,-480,-123,-57,67,40,-36,-95
Ag,-255,-76,-309,-65,147,129,97,176,154,98,47,-62,-346,-126,70,238,203,80,-63,0,-66,-307,-122,107,331,178,257,171,-39,-85
Cd,-109,-1938,-296,-69,133,113,90,159,134,-14,3,32,-358,-123,71,176,112,-162,-419,-66,0,-381,-84,94,286,154,220,23,-320,-182
La,-140,-360,33,170,170,173,129,18,-128,-339,-229,-374,3,99,145,212,-290,-790,-838,-307,-381,0,114,166,299,76,-162,-735,-1198,-837
Hf,-7,-444,-10,-10,7,43078,-268,-354,-401,-544,-186,-233,65,-22,23,-171,-819,-864,-879,-122,-84,114,0,49,-171,-407,-709,-949,-1155,-566
Ta,122,-320,75,31,-122,-130,-254,-3468,-253,-746,28,-88,181,36,-10,-193,-332,-611,-480,107,94,166,49,0,-114,-226,-330,-688,-758,-93
W,234,-161,44,-82,-97,26,-92,-554,-84,-116,129,58,148,-145,-76,-8,-66,-273,-123,331,286,299,-171,-114,0,7,-56,-350,-343,232
Re,67,-257,-341,-189,-148,4,-139,-25,-72,-116,83,8,-211,-358,-202,-2,-87,-181,-57,178,154,76,-407,-226,7,0,-89,-274,-232,166
Os,43,-577,-400,-713,-361,-22,-40,11,34,32,141,21,-304,-524,-276,-52,-16,-8,67,257,220,-162,-709,-330,-56,-89,0,-8,22,232
Ir,-369,-944,-1032,-847,-505,-238,-199,-63,3,-38,24,-238,-804,-830,-830,-338,-54,-21,40,171,23,-735,-949,-688,-350,-274,-8,0,11,154
Pt,-872,-960,-1232,-934,-564,-261,-362,-244,-107,-99,-167,-570,-1252,-1087,-721,-366,-33,-24,-36,-39,-320,-1198,-1155,-758,-343,-232,22,11,0,8
Au,-612,-466,-822,-430,-43,25,-111,70,84,44,-49,-222,-889,-580,-157,141,162,76,-95,-85,-182,-837,-566,-93,232,166,232,154,8,0
